id,resource_id,organization_service_id,region_name,network_id,name,state,cidr,prefix,user_defined,type,shared,default_network,dhcp_options_id,associations,hosted_zones,ddos_protection_enabled,instance_count,namespace_id,dns_policy,creation_timestamp,modified_timestamp,discovered_timestamp,account_id,account,cloud
7212,privatenetwork:1361:us-west-2:vpc-0050aabbeb191d697:,1361,us-west-2,vpc-0050aabbeb191d697,gdprap-stg,available,10.55.25.0/24,24,1,unknown,0,False,dopt-0945a5ff86c30852a,"{""ipv4"": [{""10.55.25.0/24"": ""vpc-cidr-assoc-081f06ba9ac932fd5""}]}",,,,arn:aws:ec2:us-west-2:017246613386:vpc/vpc-0050aabbeb191d697,,,2022-06-16 21:00:12,2024-03-14 08:37:25,017246613386,gdrp access and portability,AWS
7260,privatenetwork:1362:us-west-2:vpc-e106fb98:,1362,us-west-2,vpc-e106fb98,adsknews-stg,available,10.42.132.0/24,24,1,unknown,0,False,dopt-095d38d34f5cd0939,"{""ipv4"": [{""10.42.132.0/24"": ""vpc-cidr-assoc-552b943e""}]}","[{""Name"": ""efs.us-west-2.amazonaws.com."", ""Owner"": {""OwningService"": ""efs.amazonaws.com""}, ""HostedZoneId"": ""Z1WYD3TSWZXH6H""}]",,6,arn:aws:ec2:us-west-2:014724061663:vpc/vpc-e106fb98,,,2022-06-16 21:07:26,2024-04-03 20:16:50,014724061663,adsk news,AWS
7428,privatenetwork:1363:us-east-1:vpc-027147bcffc972262:,1363,us-east-1,vpc-027147bcffc972262,ebsoauto-prd,available,10.102.101.0/24,24,1,unknown,0,False,dopt-0c35b8bfd3799efcb,"{""ipv4"": [{""10.102.101.0/24"": ""vpc-cidr-assoc-0f6641dc433671ac8""}]}",,,,arn:aws:ec2:us-east-1:016224237807:vpc/vpc-027147bcffc972262,,,2022-06-16 21:27:13,2024-03-14 09:21:14,016224237807,aws.des.ebsoauto.prd,AWS
7949,privatenetwork:1364:us-east-1:vpc-0e2edea9a0df8c74c:,1364,us-east-1,vpc-0e2edea9a0df8c74c,vredlmvupload-dev,available,10.80.39.0/24,24,1,unknown,0,False,dopt-00ef11fe8cb7d169e,"{""ipv4"": [{""10.80.39.0/24"": ""vpc-cidr-assoc-0854ab5684c893ba8""}]}",,,,arn:aws:ec2:us-east-1:006385817123:vpc/vpc-0e2edea9a0df8c74c,,,2022-06-16 22:20:57,2024-03-13 10:54:17,006385817123,vred lmv extractor upload,AWS
7275,privatenetwork:1366:eu-west-1:vpc-03f9df7699ad9b3ac:,1366,eu-west-1,vpc-03f9df7699ad9b3ac,mulesoft-stg,available,10.115.226.0/24,24,1,unknown,0,False,dopt-e2ad8a84,"{""ipv4"": [{""10.115.226.0/24"": ""vpc-cidr-assoc-0eceeb73da12bd7f5""}]}",,,,arn:aws:ec2:eu-west-1:015465944448:vpc/vpc-03f9df7699ad9b3ac,,,2022-06-16 21:08:34,2022-08-31 19:12:33,015465944448,aws.des.mulesoft.stg,AWS
7919,privatenetwork:1366:us-east-1:vpc-0291b960c1731e2a7:,1366,us-east-1,vpc-0291b960c1731e2a7,mulesoft-stg,available,10.112.167.0/24,24,1,unknown,0,False,dopt-374afd4d,"{""ipv4"": [{""10.112.167.0/24"": ""vpc-cidr-assoc-079159946f08ea103""}, {""10.80.231.0/24"": ""vpc-cidr-assoc-0c036828fdd7b7077""}, {""10.112.0.0/22"": ""vpc-cidr-assoc-0094b93be7f4dc09f""}]}","[{""Name"": ""994a7f9e154b77507171ec68cd4f8f42.gr7.us-east-1.eks.amazonaws.com."", ""Owner"": {""OwningService"": ""eks.amazonaws.com""}, ""HostedZoneId"": ""Z06877481YBODPG7XSQQ5""}, {""Name"": ""stg-ecs-dpeservices.autodesk.com."", ""Owner"": {""OwningAccount"": ""015465944448""}, ""HostedZoneId"": ""Z09329283QDK40612FDSP""}]",,4,arn:aws:ec2:us-east-1:015465944448:vpc/vpc-0291b960c1731e2a7,,,2022-06-16 22:16:36,2024-03-14 10:26:41,015465944448,aws.des.mulesoft.stg,AWS
8238,privatenetwork:1366:us-west-2:vpc-030e0dee6ac632045:,1366,us-west-2,vpc-030e0dee6ac632045,mulesoft-stg,available,10.109.199.0/24,24,1,unknown,0,False,dopt-5f2b4c27,"{""ipv4"": [{""10.109.199.0/24"": ""vpc-cidr-assoc-0e4c843d8d78b8eee""}, {""10.55.213.0/24"": ""vpc-cidr-assoc-0b2950b78b40aa709""}, {""10.109.0.0/22"": ""vpc-cidr-assoc-0dca19c5d07284eb2""}]}","[{""Name"": ""9137577cef7b83bc0f1a96ed6c2a3e6d.gr7.us-west-2.eks.amazonaws.com."", ""Owner"": {""OwningService"": ""eks.amazonaws.com""}, ""HostedZoneId"": ""Z09715931JYYBGLYN6HVG""}, {""Name"": ""stg-dr-ecs-dpeservices.autodesk.com."", ""Owner"": {""OwningAccount"": ""015465944448""}, ""HostedZoneId"": ""Z0682713RZCH6ZX72Q9D""}]",,3,arn:aws:ec2:us-west-2:015465944448:vpc/vpc-030e0dee6ac632045,,,2022-06-16 22:54:16,2024-04-18 14:29:40,015465944448,aws.des.mulesoft.stg,AWS
7635,privatenetwork:1367:us-east-1:vpc-519fd135:,1367,us-east-1,vpc-519fd135,ipgmemento-stg,available,10.40.74.0/24,24,1,unknown,0,False,dopt-07e066e30fc614b5d,"{""ipv4"": [{""10.40.74.0/24"": ""vpc-cidr-assoc-5ced0335""}]}",,,,arn:aws:ec2:us-east-1:023252172023:vpc/vpc-519fd135,,,2022-06-16 21:46:11,2024-03-14 08:31:47,023252172023,AWS EIS IPG Memento PRD,AWS
7636,privatenetwork:1367:us-east-1:vpc-f9e3c49d:,1367,us-east-1,vpc-f9e3c49d,ipgmemento-prd,available,10.40.75.0/24,24,1,unknown,0,False,dopt-0738b16722c6b03d1,"{""ipv4"": [{""10.40.75.0/24"": ""vpc-cidr-assoc-86ab6cef""}]}",,,,arn:aws:ec2:us-east-1:023252172023:vpc/vpc-f9e3c49d,,,2022-06-16 21:46:11,2024-03-14 08:31:47,023252172023,AWS EIS IPG Memento PRD,AWS
7143,privatenetwork:1368:us-east-1:vpc-07256c69ec998b800:,1368,us-east-1,vpc-07256c69ec998b800,jira-dev,available,10.111.164.0/24,24,1,unknown,0,False,dopt-c2f6aeb8,"{""ipv4"": [{""10.111.164.0/24"": ""vpc-cidr-assoc-089ebc7fa318eb1c5""}]}",,,1,arn:aws:ec2:us-east-1:010151598712:vpc/vpc-07256c69ec998b800,,,2022-06-16 20:49:40,2024-03-13 14:07:37,010151598712,aws-des-jira-dev,AWS
